primary_label,common_name,scientific_name,url_xenocanto
asbfly,Asian Brown Flycatcher,Muscicapa dauurica,https://xeno-canto.org/species/Muscicapa-dauurica
ashdro1,Ashy Drongo,Dicrurus leucophaeus,https://xeno-canto.org/species/Dicrurus-leucophaeus
ashpri1,Ashy Prinia,Prinia socialis,https://xeno-canto.org/species/Prinia-socialis
asikoe2,Asian Koel,Eudynamys scolopaceus,https://xeno-canto.org/species/Eudynamys-scolopaceus
barswa,Barn Swallow,Hirundo rustica,https://xeno-canto.org/species/Hirundo-rustica
bcnher,Black-crowned Night-Heron,Nycticorax nycticorax,https://xeno-canto.org/species/Nycticorax-nycticorax
bkskit1,Black-winged Kite,Elanus caeruleus,https://xeno-canto.org/species/Elanus-caeruleus
bkwsti,Black-winged Stilt,Himantopus himantopus,https://xeno-canto.org/species/Himantopus-himantopus
bladro1,Black Drongo,Dicrurus macrocercus,https://xeno-canto.org/species/Dicrurus-macrocercus
blakit1,Black Kite,Milvus migrans,https://xeno-canto.org/species/Milvus-migrans
blhori1,Black-hooded Oriole,Oriolus xanthornus,https://xeno-canto.org/species/Oriolus-xanthornus
blnmon1,Black-naped Monarch,Hypothymis azurea,https://xeno-canto.org/species/Hypothymis-azurea
blrwar1,Blyth's Reed Warbler,Acrocephalus dumetorum,https://xeno-canto.org/species/Acrocephalus-dumetorum
brcful1,Brown-cheeked Fulvetta,Alcippe poioicephala,https://xeno-canto.org/species/Alcippe-poioicephala
brnhao1,Brown Boobook,Ninox scutulata,https://xeno-canto.org/species/Ninox-scutulata
brnshr,Brown Shrike,Lanius cristatus,https://xeno-canto.org/species/Lanius-cristatus
brodro1,Bronzed Drongo,Dicrurus aeneus,https://xeno-canto.org/species/Dicrurus-aeneus
brwowl1,Brown Wood-Owl,Strix leptogrammica,https://xeno-canto.org/species/Strix-leptogrammica
btbeat1,Blue-tailed Bee-eater,Merops philippinus,https://xeno-canto.org/species/Merops-philippinus
categr,Cattle Egret,Bubulcus ibis,https://xeno-canto.org/species/Bubulcus-ibis
cohcuc1,Common Hawk-Cuckoo,Hierococcyx varius,https://xeno-canto.org/species/Hierococcyx-varius
comgre,Common Greenshank,Tringa nebularia,https://xeno-canto.org/species/Tringa-nebularia
comior1,Common Iora,Aegithina tiphia,https://xeno-canto.org/species/Aegithina-tiphia
comkin1,Common Kingfisher,Alcedo atthis,https://xeno-canto.org/species/Alcedo-atthis
commoo3,Eurasian Moorhen,Gallinula chloropus,https://xeno-canto.org/species/Gallinula-chloropus
commyn,Common Myna,Acridotheres tristis,https://xeno-canto.org/species/Acridotheres-tristis
compea,Indian Peafowl,Pavo cristatus,https://xeno-canto.org/species/Pavo-cristatus
comros,Common Rosefinch,Carpodacus erythrinus,https://xeno-canto.org/species/Carpodacus-erythrinus
comsan,Common Sandpiper,Actitis hypoleucos,https://xeno-canto.org/species/Actitis-hypoleucos
comtai1,Common Tailorbird,Orthotomus sutorius,https://xeno-canto.org/species/Orthotomus-sutorius
copbar1,Coppersmith Barbet,Psilopogon haemacephalus,https://xeno-canto.org/species/Psilopogon-haemacephalus
crseag1,Crested Serpent-Eagle,Spilornis cheela,https://xeno-canto.org/species/Spilornis-cheela
eaywag1,Western Yellow Wagtail,Motacilla flava,https://xeno-canto.org/species/Motacilla-flava
emedov2,Asian Emerald Dove,Chalcophaps indica,https://xeno-canto.org/species/Chalcophaps-indica
eucdov,Eurasian Collared-Dove,Streptopelia decaocto,https://xeno-canto.org/species/Streptopelia-decaocto
eurcoo,Eurasian Coot,Fulica atra,https://xeno-canto.org/species/Fulica-atra
gargan,Garganey,Spatula querquedula,https://xeno-canto.org/species/Spatula-querquedula
gloibi,Glossy Ibis,Plegadis falcinellus,https://xeno-canto.org/species/Plegadis-falcinellus
graher1,Gray Heron,Ardea cinerea,https://xeno-canto.org/species/Ardea-cinerea
grbeat1,Green Bee-eater,Merops orientalis,https://xeno-canto.org/species/Merops-orientalis
grecou1,Greater Coucal,Centropus sinensis,https://xeno-canto.org/species/Centropus-sinensis
greegr,Great Egret,Ardea alba,https://xeno-canto.org/species/Ardea-alba
grefla1,Greater Flameback,Chrysocolaptes guttacristatus,https://xeno-canto.org/species/Chrysocolaptes-guttacristatus
grejun2,Gray Junglefowl,Gallus sonneratii,https://xeno-canto.org/species/Gallus-sonneratii
grewar3,Greenish Warbler,Phylloscopus trochiloides,https://xeno-canto.org/species/Phylloscopus-trochiloides
grnsan,Green Sandpiper,Tringa ochropus,https://xeno-canto.org/species/Tringa-ochropus
grnwar1,Green Warbler,Phylloscopus nitidus,https://xeno-canto.org/species/Phylloscopus-nitidus
grtdro1,Greater Racket-tailed Drongo,Dicrurus paradiseus,https://xeno-canto.org/species/Dicrurus-paradiseus
gryfra,Gray Francolin,Ortygornis pondicerianus,https://xeno-canto.org/species/Ortygornis-pondicerianus
grywag,Gray Wagtail,Motacilla cinerea,https://xeno-canto.org/species/Motacilla-cinerea
gybpri1,Gray-breasted Prinia,Prinia hodgsonii,https://xeno-canto.org/species/Prinia-hodgsonii
gyhcaf1,Gray-headed Canary-Flycatcher,Culicicapa ceylonensis,https://xeno-canto.org/species/Culicicapa-ceylonensis
hoopoe,Eurasian Hoopoe,Upupa epops,https://xeno-canto.org/species/Upupa-epops
houcro1,House Crow,Corvus splendens,https://xeno-canto.org/species/Corvus-splendens
houspa,House Sparrow,Passer domesticus,https://xeno-canto.org/species/Passer-domesticus
inbrob1,Indian Blue Robin,Larvivora brunnea,https://xeno-canto.org/species/Larvivora-brunnea
indpit1,Indian Pitta,Pitta brachyura,https://xeno-canto.org/species/Pitta-brachyura
insbab1,Indian Scimitar-Babbler,Pomatorhinus horsfieldii,https://xeno-canto.org/species/Pomatorhinus-horsfieldii
junbab2,Jungle Babbler,Argya striata,https://xeno-canto.org/species/Argya-striata
kenplo1,Kentish Plover,Charadrius alexandrinus,https://xeno-canto.org/species/Charadrius-alexandrinus
labcro1,Large-billed Crow,Corvus macrorhynchos,https://xeno-canto.org/species/Corvus-macrorhynchos
laudov1,Laughing Dove,Streptopelia senegalensis,https://xeno-canto.org/species/Streptopelia-senegalensis
lblwar1,Large-billed Leaf Warbler,Phylloscopus magnirostris,https://xeno-canto.org/species/Phylloscopus-magnirostris
lirplo,Little Ringed Plover,Charadrius dubius,https://xeno-canto.org/species/Charadrius-dubius
litegr,Little Egret,Egretta garzetta,https://xeno-canto.org/species/Egretta-garzetta
litgre1,Little Grebe,Tachybaptus ruficollis,https://xeno-canto.org/species/Tachybaptus-ruficollis
litspi1,Little Spiderhunter,Arachnothera longirostra,https://xeno-canto.org/species/Arachnothera-longirostra
litswi1,Little Swift,Apus affinis,https://xeno-canto.org/species/Apus-affinis
marsan,Marsh Sandpiper,Tringa stagnatilis,https://xeno-canto.org/species/Tringa-stagnatilis
nutman,Scaly-breasted Munia,Lonchura punctulata,https://xeno-canto.org/species/Lonchura-punctulata
oripip1,Paddyfield Pipit,Anthus rufulus,https://xeno-canto.org/species/Anthus-rufulus
piebus1,Pied Bushchat,Saxicola caprata,https://xeno-canto.org/species/Saxicola-caprata
piekin1,Pied Kingfisher,Ceryle rudis,https://xeno-canto.org/species/Ceryle-rudis
plapri1,Plain Prinia,Prinia inornata,https://xeno-canto.org/species/Prinia-inornata
purher1,Purple Heron,Ardea purpurea,https://xeno-canto.org/species/Ardea-purpurea
pursun3,Purple-rumped Sunbird,Leptocoma zeylonica,https://xeno-canto.org/species/Leptocoma-zeylonica
pursun4,Purple Sunbird,Cinnyris asiaticus,https://xeno-canto.org/species/Cinnyris-asiaticus
putbab1,Puff-throated Babbler,Pellorneum ruficeps,https://xeno-canto.org/species/Pellorneum-ruficeps
rerswa1,Red-rumped Swallow,Cecropis daurica,https://xeno-canto.org/species/Cecropis-daurica
revbul,Red-vented Bulbul,Pycnonotus cafer,https://xeno-canto.org/species/Pycnonotus-cafer
rewbul,Red-whiskered Bulbul,Pycnonotus jocosus,https://xeno-canto.org/species/Pycnonotus-jocosus
rewlap1,Red-wattled Lapwing,Vanellus indicus,https://xeno-canto.org/species/Vanellus-indicus
rocpig,Rock Pigeon,Columba livia,https://xeno-canto.org/species/Columba-livia
rorpar,Rose-ringed Parakeet,Psittacula krameri,https://xeno-canto.org/species/Psittacula-krameri
rossta2,Rosy Starling,Pastor roseus,https://xeno-canto.org/species/Pastor-roseus
ruftre2,Rufous Treepie,Dendrocitta vagabunda,https://xeno-canto.org/species/Dendrocitta-vagabunda
shikra1,Shikra,Accipiter badius,https://xeno-canto.org/species/Accipiter-badius
spodov,Spotted Dove,Streptopelia chinensis,https://xeno-canto.org/species/Streptopelia-chinensis
stbkin1,Stork-billed Kingfisher,Pelargopsis capensis,https://xeno-canto.org/species/Pelargopsis-capensis
thbwar1,Thick-billed Warbler,Arundinax aedon,https://xeno-canto.org/species/Arundinax-aedon
tibfly3,Tickell's Blue Flycatcher,Cyornis tickelliae,https://xeno-canto.org/species/Cyornis-tickelliae
wemhar1,Eurasian Marsh-Harrier,Circus aeruginosus,https://xeno-canto.org/species/Circus-aeruginosus
whbbul2,White-browed Bulbul,Pycnonotus luteolus,https://xeno-canto.org/species/Pycnonotus-luteolus
whbwat1,White-breasted Waterhen,Amaurornis phoenicurus,https://xeno-canto.org/species/Amaurornis-phoenicurus
whbwoo2,White-bellied Woodpecker,Dryocopus javensis,https://xeno-canto.org/species/Dryocopus-javensis
whcbar1,White-cheeked Barbet,Psilopogon viridis,https://xeno-canto.org/species/Psilopogon-viridis
whiter2,Whiskered Tern,Chlidonias hybrida,https://xeno-canto.org/species/Chlidonias-hybrida
whrmun,White-rumped Munia,Lonchura striata,https://xeno-canto.org/species/Lonchura-striata
whtkin2,White-throated Kingfisher,Halcyon smyrnensis,https://xeno-canto.org/species/Halcyon-smyrnensis
woosan,Wood Sandpiper,Tringa glareola,https://xeno-canto.org/species/Tringa-glareola
zitcis1,Zitting Cisticola,Cisticola juncidis,https://xeno-canto.org/species/Cisticola-juncidis
